127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/js/qr.js HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/squaremodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/gappedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/circlemodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/roundedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/verticalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/qr_preview.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/horizontalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
2021-12-28 16:01:57,785 (INFO) app_qr.py:qr => IP: 127.0.0.1 POST /qr-code page
127.0.0.1 - - [28/Dec/2021:16:01:58 +0000] "POST /qr-code HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
2021-12-28 16:02:08,829 (INFO) app_qr.py:qr => IP: 127.0.0.1 GET /qr-code page
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /qr-code HTTP/1.1" 200 25095 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/squaremodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/gappedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/js/qr.js HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/roundedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/circlemodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/verticalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
